# index, name, _pos
276,C06E7.3,"array([ 35.77513401, -18.70661295])"
277,C06E8.3,"array([21.76541726,  7.91291309])"
278,C33H5.15,"array([21.71401379,  3.57139973])"
279,F49F1.9,"array([25.68619205,  4.02120204])"
280,F52D2.4,"array([22.71004148,  4.80568567])"
281,R01E6.5,"array([20.11897848,  3.2921094 ])"
282,T11B7.4,"array([21.0650966 ,  3.66234183])"
283,T20F5.4,"array([23.16858197,  1.52688157])"
284,Y37H2A.1,"array([20.94287942,  1.97655249])"
285,Y57G11C.24,"array([21.49968944,  2.8633839 ])"
286,ZK121.2,"array([22.2828414 ,  3.12068191])"
287,C06G3.6,"array([18.83203747, -1.03766778])"
288,K12B6.8,"array([20.3086244 , -2.07149747])"
289,Y49E10.2,"array([18.31563758,  1.15156983])"
290,C06H5.2,"array([28.04141522, -2.74542798])"
291,R12H7.5,"array([28.36428504, -5.00831413])"
292,Y105C5B.14,"array([26.95350182, -0.16337357])"
293,C07A12.4,"array([30.14127524, 10.62376415])"
294,C31H1.6,"array([28.28847998,  9.27968558])"
295,C07A9.6,"array([33.77182366,  0.04473614])"
296,F39H12.1,"array([32.59176266,  0.44116953])"
297,C07A9.7,"array([25.73480275, -0.83727781])"
298,F35H8.5,"array([24.22170192,  0.0755426 ])"
299,C07E3.3,"array([13.3747674 ,  4.81999619])"
300,W09H1.6,"array([15.67199713,  3.27232628])"
301,C07G1.6,"array([17.47075854, -3.64629527])"
302,Y18D10A.5,"array([18.82537415, -2.24682444])"
303,C07G2.3,"array([ 8.5393988 , -3.30229505])"
304,T20B12.2,"array([ 7.54224409, -3.84364327])"
305,Y39A1A.3,"array([10.06074415, -2.47288272])"
306,C07H6.5,"array([-1.80669426, 11.26481582])"
307,R05D11.8,"array([-1.56107231, 10.62201158])"
308,C08B6.10,"array([26.73671594,  2.56564383])"
309,C08B6.9,"array([ 6.48449815, 16.40078205])"
310,Y38E10A.19,"array([ 7.04926868, 16.80155507])"
311,C08E3.7,"array([29.06951425, -8.09204312])"
312,F46A9.4,"array([28.43709648, -8.07443628])"
313,T22F3.3,"array([28.62248407, -0.07357369])"
314,C08F11.11,"array([30.45144574,  7.11434455])"
