# index, _pos
225,"array([-6.23540452,  8.47368034])"
226,"array([-5.46192155,  9.81466198])"
227,"array([-7.61912513,  9.2773331 ])"
228,"array([-2.8368654 , 10.87684844])"
229,"array([-8.60394596,  9.96380725])"
230,"array([-6.39618781,  9.05346677])"
231,"array([-6.6965191 , 10.52333768])"
232,"array([-7.75836752, 10.90910578])"
233,"array([-10.90479286,   2.8240263 ])"
234,"array([-11.40385243,   1.40248139])"
235,"array([-11.12411624,   1.7145899 ])"
236,"array([-11.70580371,   1.66836455])"
237,"array([-10.58794121,   1.86520818])"
238,"array([-12.96961071,   4.09036315])"
239,"array([-11.90018213,   1.28273318])"
240,"array([-11.39156865,   2.23187394])"
241,"array([-12.29198007,   4.82922956])"
242,"array([-12.41730065,   2.8589614 ])"
243,"array([-11.11611894,   5.31614553])"
244,"array([-10.77306683,   5.6956383 ])"
245,"array([-11.83280199,   4.75495154])"
246,"array([-12.33890177,   4.35002355])"
247,"array([-11.46701841,   5.10239443])"
248,"array([10.75717076, -0.36942712])"
249,"array([ -8.87873841, -22.17514162])"
250,"array([-11.52322028,   3.05658449])"
251,"array([-11.58000247,   3.29036307])"
252,"array([-12.6558887 ,   3.32005897])"
253,"array([-11.10766955,   3.85251644])"
254,"array([-12.37586141,   6.79883923])"
255,"array([-12.4301677 ,   5.95413661])"
256,"array([-11.48541734,   6.16688709])"
257,"array([ 6.62084761, -6.49633518])"
258,"array([ 6.73532369, -5.67640329])"
259,"array([ 6.44983604, -7.30244542])"
260,"array([-13.90929568, -23.86959128])"
261,"array([ -8.74216863, -19.58853203])"
262,"array([-12.5548366 ,   3.50336059])"
263,"array([-14.49714021,   6.59136258])"
264,"array([-16.44911198,   4.4374713 ])"
265,"array([-12.31634153,   3.1271912 ])"
266,"array([-11.20730619,   3.51046311])"
267,"array([-12.23029849,   3.70466496])"
268,"array([-11.60625774,   3.83132084])"
269,"array([-12.47490888,   6.33577437])"
270,"array([-12.46922255,   5.72971159])"
271,"array([-11.13172735,   6.03864742])"
272,"array([-11.0858237 ,   3.31380535])"
273,"array([-12.32496827,   3.51598663])"
274,"array([-11.33023787,   3.86936632])"
275,"array([-12.03054735,   6.85456198])"
276,"array([-12.02015269,   5.753537  ])"
277,"array([-11.06253299,   6.29665707])"
278,"array([-11.41125881,   3.5584379 ])"
279,"array([-13.25645767,   2.71839713])"
280,"array([-14.95355123,   6.01881544])"
281,"array([-13.69487952,   9.13668719])"
282,"array([-15.3861433,   9.431249 ])"
283,"array([-13.50533901,   9.74283926])"
284,"array([-14.78624723,   9.28420128])"
285,"array([-14.79996071,   9.86234797])"
286,"array([-11.74968808,   4.02492311])"
287,"array([-12.59869584,   6.56489115])"
288,"array([-12.2325366,   5.6104684])"
289,"array([-11.36097348,   5.93614301])"
290,"array([-10.30084856,   1.72250649])"
291,"array([-7.45246265,  4.69041001])"
292,"array([-8.9841653 ,  2.49793446])"
293,"array([-13.10837583,   0.10244035])"
294,"array([-15.97987935,   3.45027213])"
295,"array([-14.70572266,   4.30487415])"
296,"array([-12.20832595,   3.35977644])"
297,"array([-15.62629485,   5.20216926])"
298,"array([-15.24980995,   5.5347779 ])"
299,"array([-16.08780867,   4.86827795])"
300,"array([-14.95118695,   6.70336039])"
301,"array([-16.0443199 ,   5.68499385])"
302,"array([-15.58228482,   6.07139244])"
303,"array([-16.45571239,   5.26453001])"
304,"array([-11.35885471,   3.33386972])"
305,"array([-11.28198003,   3.14442988])"
306,"array([-11.06220924,   3.08225741])"
307,"array([-11.29633699,   2.90006215])"
308,"array([-11.64481372,   3.54181805])"
309,"array([-12.1907085 ,   2.97306748])"
310,"array([-12.41848354,   3.32782483])"
311,"array([-12.07855287,   3.54911999])"
312,"array([-12.52546939,   3.11129493])"
313,"array([-12.1027833 ,   3.17343719])"
314,"array([-12.45874607,   3.70327371])"
315,"array([-11.99440797,   3.35605964])"
316,"array([-12.66491975,   2.83900858])"
317,"array([-11.4044256 ,   0.78020503])"
318,"array([-2.19339445,  9.11549144])"
319,"array([-5.97783648,  9.55032408])"
320,"array([-2.15076613, 10.9631989 ])"
321,"array([-12.24051847,   2.38116902])"
322,"array([-14.01923306,   1.6565777 ])"
323,"array([-15.36763026,   1.62684521])"
324,"array([-13.26872986,   4.34702084])"
325,"array([-14.29460027,   3.09005673])"
326,"array([-12.65176932,   2.00028778])"
327,"array([-15.02690024,   2.5229455 ])"
328,"array([-12.77699888,   3.67772103])"
329,"array([-8.36859372,  9.29593189])"
330,"array([-1.8858162 , 10.37618214])"
331,"array([-14.043619  ,   2.04115163])"
332,"array([-12.30925341,   2.61031266])"
333,"array([-13.53697319,   1.49385594])"
334,"array([ -2.00605325, -16.76295063])"
335,"array([ -0.22138112, -20.31870958])"
336,"array([-41.4251982 ,   9.24067374])"
337,"array([-12.54426357,   2.50949467])"
338,"array([-14.89493878,   2.11810349])"
